,Age_group_new,Designation_new,Economic_status_new,Q1_new,Q2_new,Q3_new,Q4_new,Q5_new,Q6_new,Q7_new,Q8_new,Q9_new,Q10_new,Q11_new,Q12_new,Q13_new,Q14_new,Q15_new,Q16_new,Q17_new,Q18_new
0,3,0,2,2,0,3,3,3,3,3,3,2,3,1,3,3,3,3,1,3,1
1,3,4,1,1,0,3,3,1,3,1,3,2,3,3,3,3,3,3,0,3,1
2,4,2,1,2,1,0,3,0,3,3,3,2,1,1,3,3,3,3,2,3,1
3,3,0,2,2,0,2,1,1,1,3,3,2,3,3,1,3,1,3,1,3,1
4,2,4,2,0,0,3,3,1,3,3,3,2,1,3,1,3,3,1,0,3,1
5,3,0,2,2,2,3,3,0,3,1,3,0,3,3,0,3,1,3,2,0,1
6,4,3,1,1,0,1,1,1,1,3,1,2,3,1,1,3,3,1,0,1,1
7,1,5,1,2,2,1,3,3,3,3,3,2,3,3,3,3,3,3,1,3,1
8,4,3,1,2,0,3,3,3,3,3,1,2,1,3,3,3,3,3,0,1,1
9,3,4,2,2,1,3,1,1,3,3,3,2,3,3,0,3,3,3,0,3,1
10,4,5,1,1,0,1,1,1,1,3,1,2,3,1,1,1,1,3,0,1,1
11,2,5,1,0,0,3,3,3,3,3,3,2,3,3,3,3,3,1,2,3,1
12,2,2,2,2,2,3,3,1,0,3,1,2,3,1,0,3,3,1,0,3,1
13,3,4,1,0,0,3,1,3,3,3,3,2,3,0,1,3,3,3,0,3,1
14,3,2,1,1,1,3,3,3,3,3,1,2,3,1,3,3,3,3,1,3,1
15,1,2,1,1,0,3,3,3,3,3,3,0,3,1,3,3,3,1,0,1,1
16,3,2,1,1,0,3,1,1,1,3,3,1,3,3,3,3,3,0,0,3,1
17,1,0,1,2,0,3,3,3,3,1,3,1,0,0,0,3,3,3,2,3,1
18,1,0,1,2,0,3,1,1,3,3,3,2,3,3,1,3,3,3,0,3,1
19,3,3,2,2,0,3,3,1,3,3,3,2,3,1,3,3,3,3,0,3,0
20,1,5,2,2,0,3,3,0,3,3,3,2,3,3,3,3,3,3,2,3,1
21,2,5,1,2,0,1,3,1,3,3,3,2,3,3,3,3,3,3,0,3,1
22,1,2,1,2,2,3,3,3,3,3,3,0,3,3,3,0,0,3,0,3,1
23,1,2,1,2,0,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,1
24,3,0,2,2,1,3,1,1,3,3,3,2,3,3,3,3,3,3,0,3,1
25,2,5,2,2,0,3,0,3,3,3,3,0,0,0,0,1,1,1,2,3,1
26,3,0,2,2,0,3,1,1,3,3,3,2,3,1,0,3,3,3,0,3,1
27,2,1,1,1,0,3,1,1,1,1,1,2,3,3,3,0,1,1,2,3,1
28,4,3,1,2,0,0,3,0,3,3,3,2,3,3,0,3,3,3,0,3,1
29,3,4,0,2,0,1,3,3,3,3,3,1,1,3,3,3,3,3,0,1,1
30,4,1,1,2,1,3,3,1,3,3,3,2,3,1,1,3,1,3,0,1,1
31,3,4,1,2,0,3,0,1,3,1,3,2,3,3,3,1,3,3,0,3,1
32,3,4,0,0,0,3,3,3,3,3,3,2,0,3,0,0,0,0,0,0,1
33,2,5,1,2,0,3,3,1,3,3,1,1,3,1,0,1,1,3,0,1,1
34,2,5,0,1,0,3,1,3,3,3,3,2,3,3,0,0,3,3,0,1,0
35,2,1,0,2,0,1,1,3,3,1,0,2,3,3,1,3,3,3,0,3,1
36,3,1,2,2,1,3,3,1,1,1,3,2,3,1,1,3,1,1,1,1,1
37,3,5,1,2,2,3,1,1,3,0,3,2,0,3,1,1,3,0,0,1,1
38,1,3,1,2,0,3,3,3,3,3,3,2,3,1,1,3,1,3,0,3,1
39,3,5,2,2,0,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,1
40,1,3,1,2,1,3,2,1,2,3,3,2,3,1,3,1,1,2,0,3,1
41,2,5,1,2,0,3,3,0,0,3,0,0,3,3,3,3,3,3,2,3,1
42,3,1,1,2,0,1,3,1,3,1,3,2,3,1,0,1,3,1,1,3,1
43,2,0,1,0,2,3,3,3,3,0,0,2,1,0,0,3,3,3,0,1,1
44,3,0,1,2,0,3,3,3,3,3,3,2,3,3,3,3,3,3,0,0,1
45,2,3,2,1,2,3,1,1,1,1,1,1,1,1,3,1,1,1,0,1,1
46,3,0,2,1,0,3,3,0,1,3,3,2,1,1,1,3,3,3,0,3,1
47,3,5,1,2,0,3,3,1,3,3,3,2,3,3,3,3,3,3,2,3,1
48,2,5,1,1,0,0,0,2,1,1,1,1,1,1,2,1,1,1,0,1,1
49,4,5,1,1,0,0,0,2,2,2,2,0,2,2,1,2,2,2,0,2,0
50,1,4,1,0,0,1,1,1,1,1,3,2,3,1,3,1,1,1,1,1,0
51,4,1,1,2,0,3,3,1,3,3,3,2,0,3,1,3,3,3,1,3,1
52,3,1,1,2,0,3,3,0,3,3,3,2,3,1,1,3,3,3,1,3,1
53,2,5,0,1,1,3,1,1,3,3,3,2,3,3,3,3,1,1,1,3,0
